country, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, average
Bahrain,"","","","","","3072698328.46909","3467819148.93617","3645744680.85106","3735106382.97872","3905585106.38298","3651861702.12766","3052393617.02128","3392021010.6383","3702393617.02128","3863563829.78723","4229787234.04255","4616223404.25532","4751063829.78723","5200265957.44681","5567553457.44681","5849467819.14894","6101861436.17021","6349202393.61702","6183776595.74468","6621010372.34043","9062906914.89362","8976207712.76596","9632155053.19149","11074822074.4681","13150166755.3191","15968726861.7021","18505053191.4894","21730000000","25710877659.5745","22938218085.1064","25713271276.5957","28776595744.6809","30749308510.6383","32539547872.3404","33387712765.9575","31125851063.8298","32152686170.2128",12490635341.5
Bahamas,"632400000","596200000","642100000","713000000","832400000","1139800100","1335300000","1426500000","1578300000","1732800000","2041100000","2320699900","2472500000","2713999900","2817900000","3062000000","3166000000","3111160000","3109000000","3092000000","3259000000","3429000000","3609000000","6332360000","6833220000","7683870000","8076470000","8317830000","8881160000","8870090000","9055290000","9836200000","10167250000","10618340000","10526000000","9981960000","10095760000","10070450000","10720500000","10627600000","10957300000","11792300000",5435145473.81
Bosnia and Herzegovina,"","","","","","","","","","","","","","","","","","","","1255802469.1358","1866572953.73666","2786045321.63743","3671816504.23851","4116699437.4041","4685729738.56209","5505984455.95855","5748990666.17862","6651226179.01829","8370020196.19158","10596205714.2857","11222953519.4252","12864610993.5219","15778767669.6991","19112739664.4697","17613836209.9581","17176781336.7644","18644723860.9709","17226849297.07","18178503835.4491","18558343508.3435","16209702863.6235","16911088173.7458",11076260633.5
Belarus,"","","","","","","","","","","","","","","","21650000000","18000000000","17037037037.037","16280991735.5372","14932024169.1843","13972676840.918","14756846153.8462","14128408565.7064","15222012660.4232","12138486532.0203","12736856827.9847","12354820143.8849","14594249022.8922","17827791321.3067","23144351851.8519","30207567316.6202","36954312354.3124","45277399813.6067","60763483146.0674","50874078052.2735","58665088956.0255","61757788944.7236","65685102554.8759","75527984234.2342","78813839984.3506","56454734396.5842","47749057078.1996",33611369988.7
Belize,"118066298.342541","96905829.5964126","117650000","136300000","151800000","197938222.429283","196089854.656347","182206326.985709","192103185.955321","214381949.01938","212643742.664706","231638320.535566","281082558.5859","320093360.27245","369133890.704745","412086445.492177","444720750","518239100","559858250","580863700","620140400","641383800","654314350","688992450","732732350","832072450","871860600","932551850","990374050","1057845500","1114202700","1217442150","1290542550","1368625150","1335217500","1396731700","1486595750","1563827850","1608442150","1692955750","1762500450","1806646250",742852369.887
Brazil,"123709376567.89","152678020452.829","176171284311.761","200800891870.164","224969488835.181","235024598983.261","263561088977.129","281682304161.041","203304515490.795","209023912696.839","222942790435.299","268137224729.722","294084112392.66","330397381998.489","425595310000","461951782000","602860000000","400599250000","437798577639.752","558111997497.263","769305386182.849","850426432991.742","883199625324.675","863723411632.917","599388579985.673","655420645476.906","559372276081.966","507962487700.024","558319920831.979","669316654017.094","891630175813.342","1107640297889.95","1397084345950.39","1695824571927.15","1667019780934.28","2208871646202.82","2616201578192.25","2465188674415.03","2472806919901.67","2455993625159.37","1802214373741.32","1793989048409.29",8.46769151614e+11
Barbados,"402178605.019554","435911268.58968","495097667.929041","552883707.055138","670362452.145379","860388803.261572","946949734.002884","989409834.43544","1050514592.55208","1144931139.06429","1198329438.67151","1315616765.27619","1448714761.59698","1540893949.18709","1703972555.06389","2023318251.8769","2007109829.46353","1950900000","2046189031.96937","2151295182.22045","2261969870.23318","2411872918.01323","2549296474.91672","2874459304.92716","3012081738.17929","3121500000","3116650000","3169600000","3274850000","3514350000","3897300000","4176500000","4672250000","4782000000","4479950000","4529900000","4660900000","4656350000","4612500000","4608350000","4584150000","4529050000",2581685663.71
Canada,"173834029787.652","206575564401.623","211612156934.65","218632867449.812","243072102185.419","273853826377.01","306214863624.99","313506525087.136","340547711781.889","355372558103.621","364756499450.751","377437927311.983","431316742081.448","507354351182.254","565055743243.243","593929550908.468","610328183643.188","592387689252.916","577170761956.438","578139279437.61","604031623433.401","628546387972.131","652825364726.275","631813279406.808","676082654640.91","742293448252.643","736379777892.562","757950678646.53","892380986367.854","1023196003074.56","1169357979864.66","1315415197461.21","1464977190205.75","1549131208997.19","1371153004986.44","1613464422811.13","1788647906047.76","1824288757447.57","1842628005830.18","1799268695861.8","1559623393038.66","1535767736946.18",8.1000768186e+11
Switzerland,"","","","","","119008334606.433","108993981315.548","111711490075.358","111314328474.108","106285277141.763","107766112124.049","154482372838.957","193466104144.313","209298156700.608","202078703955.009","258066552980.132","261113787377.964","271814366804.153","264353008121.278","292646657673.466","342617007103.594","330091688349.515","286519135326.948","295045152020.968","289912492344.561","272055499940.786","278631271391.325","301416810214.295","352914820747.011","394163688620.828","408689353999.357","430921192375.179","479913034321.893","554363487120.303","541506500413.565","583782977866.405","699579638638.226","668043614122.87","688504173431.454","709182559935.301","679289166858.236","668745279604.532",3.52115885921e+11
Chile,"7622217352.34216","10341925249.0421","13962893421.5413","15989933708.1491","21803696985.2349","29036709871.7949","34509878043.5897","25325893205.657","20355959237.2128","19622527479.6913","17702885393.5099","18891048818.7426","22255407684.6999","26040229793.0697","29885685142.9107","33113887817.9731","37834793730.3133","45964327558.8836","49297773130.1185","57008425295.8256","73447063319.3034","78039572221.6024","84952360922.4679","81577430181.4074","75173794497.0321","77860932151.8471","70979923960.3742","69736811435.1032","75643459839.6008","99210392857.6116","122964812046.073","154788024805.808","173605968179.255","179638496278.574","172389498444.621","218537551220.071","252251992029.442","267122320056.702","278384332694.359","260584090570.988","243999477737.94","250036180921.053",92797394887.9
