country, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, average
Israel,"15353833333.3333","15176875000","17365700000","16836235294.1176","21505200000","24154568627.451","25568701754.386","27826057613.1687","31079439501.7794","29148462482.9468","27493591483.5864","34083532195.1875","40946424369.7479","50078767902.9333","49881433990.8161","58986997916.8733","67530220218.5073","75575902931.967","75954641355.4291","86307135996.8118","100343219506.525","109957321960.084","114724862033.977","115979230546.565","117189920211.61","132339311284.428","130706147870.747","121069378150.196","126864966908.939","135445033199.465","142462925574.348","153966916311.325","178706717752.732","215840354626.533","207419370241.335","233609522091.468","261628548084.179","257296579579.346","292489185194.417","308416982140.362","299093839689.55","317747542489.389",1.15813133272e+11
Italy,"226944777283.511","223976030937.427","256746610489.357","314019078256.902","392378584945.234","475682506443.59","429282143246.466","425863251968.504","441580962901.581","436443280912.497","450725816042.998","638273986102.091","803055418882.581","888667913418.625","925598068021.451","1177326294440.85","1242109397533.95","1315806985860.17","1061445225790.57","1095590833693.56","1170787352906.22","1308929351236.04","1239050932241.93","1266309245009.48","1248563179203.07","1141759996314.72","1162317852348.99","1266510634293.24","1569649661399.55","1798314750434.57","1852661982340.5","1942633797516","2203053380782.92","2390729163615.06","2185160183384.27","2125058244242.92","2276292404600.52","2072823157059.76","2130491320658.68","2151732868243.21","1832868490534.11","1859383610248.72",1.22420473157e+12
Jamaica,"2860411285.88714","2966010229.8977","3249697393.02607","2644449232.29321","2425033998.18676","2679409453.23903","2979061412.37229","3293533288.42483","3619294120.69144","2373566957.49214","2100223149.71396","2754566176.20212","3286987551.71597","3828310734.97795","4404970058.83786","4592224067.37194","4071219198.03601","3530892749.02131","5405097570.68897","5419134875.33794","6538840169.73126","7368000000","8375077442.97381","8763219645.29332","8851581632.65306","8985352831.94058","9178016493.05556","9694169756.90153","9399447609.1835","10150978154.5484","11204416000","11901911987.8604","12827809965.2375","13680482786.9977","12067478477.5714","13200286270.4683","14413359665.4275","14798716216.2162","14193012191.4957","13852192273.1357","14145469269.457","14072135208.5664",7527286846.48
Japan,"521541905671.903","586161859001.02","721411786537.187","1013612173519.79","1055012119528.16","1105385973763.87","1218988935129.81","1134518001884.56","1243323592058.83","1318381627003.76","1398892744820.69","2078953333673.55","2532808573157.03","3071683013178.91","3054914166263.18","3132817652848.04","3584420077100.84","3908809463463.86","4454143876947.21","4907039384469.68","5449116304981.1","4833712542207.1","4414732843544.43","4032509760872.94","4562078822335.45","4887519660744.86","4303544259842.72","4115116279069.77","4445658071221.86","4815148854362.11","4755410630912.14","4530377224970.4","4515264514430.57","5037908465114.48","5231382674593.7","5700098114744.41","6157459594823.72","6203213121334.12","5155717056270.83","4850413536037.84","4394977752877.82","4949273341993.88",3.55674889732e+12
Kazakhstan,"","","","","","","","","","","","","","","","26932728898.8146","24881135586.399","24906939560.1098","23409027475.6879","21250839258.0901","20374307047.115","21035357832.8019","22165932062.966","22135245413.2312","16870817134.7767","18291990619.137","22152694161.8882","24636593223.3467","30833699702.7594","43151647002.6096","57123671733.8953","81003884545.4098","104849886825.584","133441612246.798","115308661142.927","148047348240.643","192626507971.584","207998568865.789","236634552078.102","221415572819.5","184388432148.715","137278320084.171",80857258284.6
Kiribati,"55081816.9917528","41109617.4996945","38748059.4366822","45210026.3248255","42620165.4370668","38715554.5433842","41369800.0459664","40572066.1324678","37837837.8378378","41246160.596753","32125148.4042182","32085561.4973262","33608738.2719507","42972107.1958747","41119721.651115","39809538.6776989","47515189.2818196","47737955.346651","46919624.6430029","54832577.8622606","56338028.1690141","66515376.7900462","67537479.5903221","65334841.0604347","69032258.0645161","67254174.3970315","63101272.3699183","72196457.6768445","90231856.8000519","102367039.270481","112133944.253532","110234939.759036","132671742.950381","141042610.300285","132420059.273124","156120895.248578","181705002.578649","190243321.598675","185113921.606488","179703443.302686","171117872.436331","178328873.030033",81713873.2906
Kuwait,"12024138275.8621","13131668946.6484","14135729588.2763","15500908760.4507","24746019536.903","28638550499.4451","25056672166.4275","21577977770.059","20869434305.3173","21697297872.3404","21442619680.8511","17903681693.0489","22365734481.5213","20692472759.8566","24312117767.1886","18427777777.7778","11008793176.2223","19858555214.7239","23941391390.7285","24848483838.3838","27191689008.0429","31493987641.9506","30354434553.2476","25941929461.9423","30121879434.954","37711864406.7797","34890772742.0933","38137545245.1464","47875838926.1745","59440108585.0017","80797945205.4795","101550654720.882","114641097818.438","147395833333.333","105899930507.297","115419050942.08","154027536231.884","174070025008.932","174161142454.161","162631412508.784","114567298105.683","110912280701.754",55271768644.0
Sri Lanka,"3791298145.50642","3591319857.31272","4104509582.86359","2733183856.50224","3364611432.24149","4024621899.57653","4415844155.84416","4768765016.81884","5167913302.16745","6043474842.76729","5978460972.01767","6405210563.88294","6682167119.56522","6978371581.26375","6987267683.77254","8032551173.24014","9000362581.58086","9703011635.86585","10338679635.7616","11717604208.8223","13029697560.9756","13897738375.2488","15091913883.7091","15794972847.1683","15656327859.5696","16330814179.9766","15749753804.8344","16536535647.0834","18881765437.2151","20662525941.2986","24405791044.7761","28279814924.5918","32350248410.8216","40713812309.7316","42066217871.5349","56725749222.0435","65292753005.7475","68434409314.841","74317806538.3789","79356449840.8881","80604080688.7961","81787420023.358",22852281618.6
Lithuania,"","","","","","","","","","","","","","","","","","","","","7870782260.51698","8385109020.28485","10120274492.8787","11240360897.7126","10972878636.1675","11539211480.3625","12252498921.0186","14278357283.7419","18802576988.1557","22649930576.2543","26125575942.2814","30216060233.4044","39738180076.6283","47850551148.8365","37440673477.8982","37120517693.8622","43476873412.803","42848195256.2142","46417340374.5203","48516371720.8346","41508609232.7778","42773029835.3222",27824725407.4
Luxembourg,"3233431611.27564","3544268025.07837","3922895891.95273","4884869091.84066","5711457760.04403","6232005655.95255","5231808670.14342","4764549532.05015","4683697830.37475","4594891580.56409","4738559684.76119","6921264132.20155","8614215559.15721","9750161053.209","10391504709.2547","13229247947.8513","14321878795.0384","16065740777.9172","16486900186.5672","18325791415.4811","21588170498.0843","21776609771.987","19731912494.3617","20209122027.1171","22235929043.2559","21263514833.2412","21272418791.9463","23616328816.1114","29557325056.4334","34685281847.5292","37347394602.6614","42414308116.9239","50888134410.0739","55849686538.7432","51370543206.4462","53212476812.2957","60004630234.4135","56677961787.0717","61739352212.3049","66327344188.889","57784495265.4378","58631324559.4484",25091271548.2
Latvia,"","","","","","","","","","","","","","","","","","","","","5788368511.12379","5970044665.64574","6525676264.21486","7174985106.63648","7533187605.09248","7937758980.30127","8350252966.19655","9546441564.34743","11748433157.0533","14373269155.7174","16922504044.804","21447021570.1028","30901399261.387","35596016664.2304","26169854045.0375","23757368290.0955","28223552824.7508","28119996053.2511","30254677296.9181","31335013751.5424","26972863393.6384","27571513793.3984",18737281771.2
Maldives,"","","","","","42463576.1589404","44781456.9536424","47935843.7935844","57829787.2340425","109503546.099291","127154929.577465","141902097.902098","141268980.477223","168610478.359909","189535398.230089","215089005.235602","244468292.682927","284853358.561968","322326642.335766","355884383.08887","398988954.970263","450382327.952421","508223602.37893","540096397.621071","589239753.610875","624337145.284622","870179738.562091","897031250","1052121054.6875","1226829562.5","1163362437.5","1575200390.625","1868383460.9375","2271646187.5","2345294875","2588176054.6875","2774351760.03287","2886170571.69634","3295011381.75405","3697351596.83753","4109424801.40835","4414055724.80263",1152418021.81
Mexico,"88000000000","89025974025.974","81814159292.0354","102500000000","134561403508.772","205139086956.522","263959336734.694","184609157801.418","156159198584.513","184261495828.367","195219789801.479","134550096436.744","147540738281.817","181611549975.804","221400669713.589","261253582805.945","313142768436.92","363157598226.114","500736065605.341","527813238126.278","360073909243.855","410975595310.156","500413483109.175","526502129378.284","600232874042.927","707906744574.644","756706300589.791","772106378935.377","729336319677.449","782240601984.76","877476221382.101","975387131716.089","1052696282278.87","1109989063586.62","900045350649.351","1057801295584.05","1180489601957.61","1201089987015.45","1274443084716.57","1314563967425.24","1170564619927.69","1077779580638.77",5.63697057949e+11
Malta,"474620439.58496","527936988.791275","625573345.532174","793675169.878579","1001300838.32335","1250242107.87969","1243469360.56838","1234518125","1165771369.00625","1101828568.76804","1117835285.50512","1435079200.34957","1751247763.41948","2019474244.19359","2118574772.11136","2547163582.33149","2750041434.26295","3021910216.71827","2709178326.78271","2998570146.54095","3439931906.61479","3570271557.88471","3705372038.70537","3923637971.04652","4127313818.33836","4306192435.82207","4331870647.71535","4689832689.83269","5456583589.39342","6062780269.0583","6394851386.64345","6757119558.3992","7880509170.54476","8977149553.24447","8528202278.41067","8741059602.64901","9505636641.64581","9205742001.79879","10146688738.6529","11216758081.9535","10554669617.5194","11274020600.9269",4397242986.72
Montenegro,"","","","","","","","","","","","","","","","","","","","","","","","","","984297589.359934","1159869245.92513","1284685050.52413","1707710053.14938","2073234417.68066","2257174480.78597","2721904403.46255","3680710375.03422","4545674527.61096","4159330369.5471","4139192052.98013","4538198498.74896","4087724527.81704","4464261816.25066","4587926230.59573","4052913385.82677","4374130530.97345",3224643385.66
Mongolia,"","","","","","","2310099100","2552401933.33333","2725736633.33333","2098734600","2186505475","2896178866.66667","3020611600","3204461566.66667","3576966800","2560785660","2379018326.31579","1317611863.84977","768401634.154573","925817092.217484","1452165005.2384","1345719472.35883","1180934202.83801","1124440248.9783","1057408588.68269","1136896123.61298","1267997934.3125","1396555719.97409","1595297355.78349","1992066808.09598","2523471532.01083","3414055566.1138","4234999823.30839","5623216448.86851","4583850367.88972","7189481824.07288","10409797649.3063","12292770631.1967","12582122604.1921","12226514722.0861","11749620619.5962","11186734674.3847",4002484696.51
Mauritius,"","706991274.414428","827094668.018707","1019630847.11113","1216229419.31802","1136543003.2664","1147192916.68998","1082939379.16762","1094857357.63954","1044928624.74004","1080642033.34952","1469046114.77455","1888754655.15367","2143484487.67274","2191096860.28669","2653480001.34558","2856890680.60285","3224267547.80508","3263368410.01813","3558137040.37772","4040345933.29231","4421943910.49749","4187367601.73431","4169664285.38681","4291172815.63421","4582555124.64952","4536538210.66761","4767303153.99506","5609831328.0648","6385695187.0102","6283803256.01264","7028803365.70151","8150138757.15741","9990370016.30771","9128843109.15588","10003670690.3497","11518393367.2403","11668685524.1265","12129642296.4425","12803445933.5894","11692287066.381","12232463655.5727",4956793656.36
Nicaragua,"1590428522.64286","1847871371.71429","2239857060.57143","2142128603.78571","1527852635.63158","2189347367.52632","2448290109.65","2465165179.69565","2743341724.08333","3105517091.41379","2683816288.7907","2885710608.8808","3851213727.67857","2630904261.83247","1013184745.70715","1009455483.87097","1488804123.71134","1792800000","1756454248.36601","3863185119.04762","4140470000","4308351902.78601","4389965590.96538","4635267224.84195","4855717874.68247","5107329007.0922","5323146565.70315","5224213017.54386","5322454925.84746","5795568204.64532","6321335612.22233","6763671610.70006","7423377429.05927","8496965842.2767","8298695144.91507","8758622328.66962","9774316692.15985","10532001129.67","10982972256.3787","11880438824.4494","12611087031.4931","13184989877.5664",4985863961.15
Netherlands,"98970041042.175","107775403067.178","125395875998.923","153870462415.971","177376289135.45","192661371425.405","162039376225.382","156456858050.673","151487045479.114","142075910370.879","142009922306.263","198298498021.227","241918791122.715","258567751142.825","255039560739.894","314267667675.178","323320449905.705","358330385839.599","349037818106.312","374291430318.44","446528959648.641","445704575163.399","412199006098.938","432476116418.574","441975282335.393","412807259996.315","426573601789.709","465368906455.863","571863431151.242","650532654581.574","678533764457.157","726649102998.369","839419655078.018","936228211513.11","857932759099.75","836389937229.197","893757287201.688","828946812396.788","866680000367.264","879635084124.987","757999453314.269","777227541581.307",4.49252864557e+11
Norway,"32877805200.023","35942270686.3374","41508030431.1074","46523091009.6713","53132244623.9213","64439382896.0156","63596654760.8677","62647195537.6511","61627240831.0948","62057955032.7758","65416879914.3907","78693253275.995","94230055658.6271","101900260856.222","102633789557.535","119791683307.507","121872464483.487","130838040067.584","120579072750.596","127131461119.927","152027402449.804","163517783497.163","161354369892.838","154165219811.533","162286003692.686","171315639982.731","174003247439.305","195418347152.985","228752436371.854","264357494659.388","308722079937.912","345424664369.357","401082621082.621","462554432624.114","386622457579.95","429130952709.224","498831558925.86","510229136226.902","523502127659.574","499338534779.159","386663139402.707","371075238095.238",2.03281279056e+11
New Zealand,"12995256381.2966","13612626656.2744","15470524340.8709","18614130434.7826","20580987679.0544","23149971048.0602","24167846141.0374","24345229424.6176","24482781282.8601","21903971793.0105","24950895140.665","30604668356.5695","40338594862.2717","45493075684.38","44170562821.8027","45519034243.71","42756020706.7297","41636005954.9128","46712018140.5896","55154160815.6786","63918039319.8725","70140835299.0148","66074513017.7142","56227696194.5366","58762260625.8758","52622842840.2055","53872425916.6248","66627729311.4495","88250885550.2626","103904537815.126","114718721396.888","111608845081.383","137316087308.003","133279679482.674","121338622025.111","146583831538.331","168461998741.295","176192886551.397","190785204763.525","200955119873.905","177620948761.31","189285950470.754",75362095804.6
Oman,"2096699189.34569","2560220034.74233","2741169947.88651","2740301389.69311","3733352634.62652","5981760277.93862","7259120150.55009","7554719455.70353","7932541690.79328","8821366531.55762","10005500579.0388","7323822251.3089","7811183094.92848","8386215864.75943","9372171651.49545","11685045513.6541","11341482444.7334","12452275682.7048","12493107932.3797","12918855656.697","13802600780.2341","15277763328.9987","15837451235.3706","14085373211.9636","15710148244.4733","19507412223.6671","19452015604.6814","20142782834.8505","21633810143.0429","24763589076.723","31081924577.3732","37215864759.4278","42085305591.6775","60905331599.4798","48388296488.9467","58642392717.8153","67937581274.3823","76689206762.0286","78784395318.5956","81076723016.9051","68905071521.4564","66824447334.2003",25094295229.1
Panama,"2435304100","2588106000","2738261900","3244558600","3704551600","4614086400","5222421500","5769767900","5923755900","6183387100","6541517100","6797834200","6827665300","5902783400","5918469800","6433967000","7074675500","8042337700","8782585400","9365289800","9573813700","9870494000","10677286100","11575486400","12130252200","12304115000","12502013400","12994310400","13693981200","15013381700","16374393900","18141666300","21295984200","25155888600","27116635600","29440287600","34686224300","40429734400","45599994000","49921464365.3204","54091713775.5634","57957594212.2216",15587096227.5
Philippines,"14893969287.6557","17097563270.2982","19648106122.0079","22706155475.3048","27502168726.9573","32450541843.0652","35646416952.5425","37140163934.4262","33212180658.1659","31408492876.691","30734335448.9905","29868339080.8263","33195933429.6008","37885440418.6834","42575183905.5606","44311593755.7845","45417561302.2497","52976344928.9564","54368083953.1119","64084460124.4644","74119987244.5011","82848140618.0266","82344260570.6685","72207028767.7598","82995145792.9341","81026300310.0109","76262072467.3776","81357605641.8544","83908206647.9347","91371242495.0794","103071582125.968","122210716311.048","149359918059.998","174195136253.393","168334601260.075","199590775190.258","224143083706.777","250092092998.143","271836123723.678","284584522898.872","292774099013.687","304889079564.142",96682018027.6
Poland,"","","","","","","","","","","","","","","","65977749036.9844","85500935934.9901","94337050693.2727","96045645026.178","110803391516.698","142137319587.629","159954007640.666","159117799530.388","174388271853.6","169717677900.734","171885598582.637","190521263343.023","198680637254.902","217513049291.61","255102252843.395","306125173852.573","344748646558.391","429063549983.742","533815789473.684","439796160379.475","479257883741.752","528725113045.826","500284003684.372","524201151607.188","545285410921.999","476970902628.578","471992087443.889",2.91553649013e+11
Puerto Rico,"8198300000","8968600000","9910900000","11165000000","12750000000","14436100000","15955700000","16764200000","17276600000","19162600000","20289200000","22009300000","24025800000","26385800000","28161200000","30603919000","32287031000","34630430000","36922456000","39690630000","42647331000","45340835000","48187039000","54086400000","57841000000","61701800000","69208400000","71623500000","74827400000","80322313000","83914521340.5431","87276164364.6388","89524131617.1909","93639300000","96385600000","98381300000","100351700000","101564800000","102450000000","102445800000","103375500000","103960800000",52348795269.6
Portugal,"19349512941.1765","20334835543.7666","21441635411.2101","23489924726.2774","26625439344.2623","32899759311.1734","31980423452.7687","30530759334.0061","27242331885.6316","25220451794.029","27118476173.6675","38749715721.7531","48187667852.5687","56352797353.7604","60600056659.0272","78721607509.4923","89242382961.0101","107602689040.689","95019103603.042","99698453260.8696","118133634071.912","122629812841.175","117046198970.84","123981736420.303","127465545493.288","118358489957.619","121545880984.34","134228697534.35","164964195259.594","189187437298.237","197304513120.259","208566948939.907","240169336162.059","262007590449.685","243745748819.116","238303443425.21","244895101712.451","216368178659.447","226073492966.495","229629822121.601","199420256049.689","205184480409.024",1.19276632513e+11
Paraguay,"1511420634.92064","1698960317.46032","2092158730.15873","2559857142.85714","3416777777.77778","4448087301.5873","5624515873.01587","5419411764.70588","5673248726.18009","4502462807.0602","3282449235.87261","3723993942.72004","3971044723.80154","4255683528.33968","4757732199.96678","5812114523.02702","6984367762.90371","7157424031.06045","7249533620.30614","7870982004.8195","9062131475.02318","9788391780.52421","9965225678.05093","9260481572.42462","8837070235.51892","8855705139.55857","8495806432.18467","7196260656.84556","7691367471.17992","9624440836.29309","10737500188.1123","13429430050.261","17856270473.153","24578067861.3998","22341754513.9643","27215968615.5548","33715524703.9288","33283228891.0923","38585317742.981","40276532540.8812","36164068797.2511","36054281572.3981",12262548901.8
Qatar,"2512784033.37828","3284301332.18953","3617580171.76055","4052000412.70087","5633000318.02401","7829094613.07082","8661263763.73626","7596703214.28571","6467582307.69231","6704395824.17583","6153296456.04396","5053021950.54945","5446428681.31868","6038187032.96703","6487912087.91209","7360439423.07692","6883516483.51648","7646153983.51648","7156593653.84615","7374450769.23077","8137911978.02198","9059340384.61539","11297802115.3846","10255495027.4725","12393131868.1319","17759890109.8901","17538461538.4615","19363736263.7363","23533791208.7912","31734065934.0659","44530494505.4945","60882142857.1428","79712087912.0879","115270054945.055","97798351648.3516","125122306346.154","167775274725.275","186833516483.516","198727747252.747","206224725274.725","161739835164.835","151732142857.143",44747166974.1
Romania,"","","","","","","","","","","","","38413636363.6364","40809523809.5238","42105263157.8947","38995454545.4545","28998684210.5263","25121666666.6667","26362894736.8421","30074440483.3837","37662075750.123","37182938696.0752","35838588169.6429","41976002703.9207","36183003978.3474","37438527799.5302","40716836998.0386","46174557555.5892","59867801204.8193","76216441462.1442","99697566667.8107","123533036667.853","175933642291.761","213605065703.283","172611845341.554","166225180150.414","183443154234.731","171196268957.961","190949066979.176","199626806401.529","177893451831.141","188494136775.719",92778252009.8
Russian Federation,"","","","","","","","","","","","","","","506500173960.269","516814274021.956","517962962962.963","460290556900.726","435083713850.837","395077301248.464","395531066563.296","391719993756.828","404926534140.017","270953116950.026","195905767668.562","259708496267.33","306602673980.117","345470494417.863","430347770733.155","591016690742.937","764017107993.346","989930542278.684","1299705764824.48","1660846387626","1222644282200.48","1524917468442.6","2051661732059.47","2210256976944.74","2297128039058.16","2063662665172.51","1368400705490.7","1284727602174.3",8.9863610223e+11
Singapore,"5633386679.7981","6326445409.69089","6617532782.90432","7515823563.17127","9294635004.39754","11893405683.8039","14171819540.4446","16078856439.627","17775280373.8318","19735920492.1912","19138296376.1661","18569292304.8952","20897630201.1573","25337226970.5603","30423573842.1785","36152027893.1446","45474442836.4689","52156414978.5144","60644572348.0629","73777792326.8299","87890009877.24","96403758865.2482","100163995150.862","85707636233.2696","86283126843.6578","95833932714.6172","89286208628.6767","91941192896.2359","97001377568.5914","114188557567.152","127417688055.756","147797218201.271","179981288567.447","192225881687.752","192408387762.118","236421782178.218","275966926379.393","290673681683.604","304454327499.401","311539499644.858","304097759674.134","309763879840.753",1.0273958318e+11
El Salvador,"1884120100","2328280100","2941640100","3127960000","3463639900","3573959900","3437200200","3399189100","3506347800","3661683400","3800368600","3771663200","3958045800","4189880000","4372215300","4817542204.02673","5252342400","5813399300","6680269200","7679384000","8921947100","9586327800","10221705900","10936669900","11284197000","11784927700","12282533600","12664190300","13243892200","13724810900","14698001400","15999886400","17011750900","17986886200","17601616000","18447922400","20283783700","21386153000","21977401900","22585841200","23166030400","23912227500",10270662714.4
San Marino,"","","","","","","","","","","","","","","","","","","","","","","","","1215640315.36331","1101897917.81832","1160626398.21029","1253529079.61604","1600451467.26862","1877328035.75863","1958711603.03445","2092585622.88295","2488365726.79989","2752307016.25897","2363156432.34232","2139072847.68212","2054489852.65499","1800077091.09598","1865374402.54912","1788510017.24824","1523012088.2777","1564380530.97345",1811084246.99
Serbia,"","","","","","","","","","","","","","","","","","","","","16750000000","20948677839.851","24147996549.5662","18284194680.3844","18409364146.9794","6540247190.33529","12267175481.2542","16116843146.4806","21188704081.2428","24861483280.6339","26252007830.4639","30607991862.4843","40289556656.1455","49259526052.7426","42616653299.9115","39460357730.5224","46466728666.6103","40742313861.1374","45519650911.4138","44210806365.6817","37160332465.1645","38299854688.1277",30018203035.8
Suriname,"465500000","505500000","641500000","735500000","782500000","795000000","889000000","915000000","883500000","864000000","873000000","891000000","980000000","1161000000","542600000","388400000","448100000","404600000","428764705.882353","605492537.313433","691590497.737557","861411471.321696","926422500","1110850000","886290697.674419","947671969.69697","834279357.798165","1093574468.08511","1274190311.41869","1484092538.40527","1793388732.29125","2626493056.82108","2936440801.45719","3532961748.63388","3875555555.55556","4368398047.64333","4422646203.75187","4958566169.81474","5149556633.8135","5235212205.60635","4767414747.88691","3152173913.04348",1693550925.52
Slovenia,"","","","","","","","","","","","","","","","","","","","","21273055398.3017","21480023016.9972","20749140606.2425","22125435372.187","22689994990.1121","20342201356.0052","20875387068.1145","23563576758.1047","29697448108.2957","34470227453.9113","36346974008.2079","39587732028.6037","48114688201.4782","55589849128.4605","50244793831.6199","48013606745.4803","51290792018.1074","46352802765.5763","48116256926.0807","49904928335.3069","43072415017.4321","44708598648.8562",36300451262.9
Sweden,"81716751697.8951","88102107647.0993","93136775102.6419","102969762221.976","121646718574.328","140088635568.375","127858412114.39","112767844570.719","103533702638.547","107661673734.858","112514448261.835","148376104539.839","180429286795.786","204068257817.6","214875344909.957","258154283908.9","270362531376.602","280312318915.485","209950792712.696","226079963711.768","264051981551.316","288103936773.039","264477727278.681","266800462898.904","270847937645.236","259802012617.057","239917320966.977","263926220332.543","331108912605.271","381705425301.746","389042298376.845","420032121655.688","487816328342.309","513965650650.119","429657033107.737","488377689564.921","563109663291.177","543880647757.404","578742001487.571","573817719109.402","497918109302.399","514459972806.171",2.86099211672e+11
Seychelles,"47803145.9560303","49278979.5471457","64526398.6585361","85552369.914184","127261099.24396","147357222.779802","154902869.02139","147912069.76575","146712850.509248","151313241.982492","168887539.130818","207850623.637094","249267039.782675","283828769.029925","304832867.393246","368584758.942457","374359556.084926","433667193.814795","473916819.453826","486451204.557142","508221508.221508","503068472.20266","562958836.519905","608369282.225727","622985493.682733","614879764.780006","622262057.191635","697518248.175182","705704816.042365","839319927.272727","919103254.545455","1016418229.25159","1033561654.0568","967199593.960157","847397850.094417","969936525.298729","1065826669.89742","1060222480.2109","1328158359.63061","1343010475.37046","1377492465.56086","1427525456.57573",574176381.904
Thailand,"14882747955.0328","16985211146.0238","19779315170.0237","24006570178.1561","27371699082.7126","32353440726.8856","34846107862.3673","36589797857.4006","40042826244.2337","41797592963.4424","38900692712.1496","43096746122.4614","50535438696.4094","61667199834.7428","72250877410.3183","85343063965.9182","98234695722.0341","111452869378.467","128889832382.818","146683499005.964","169278552851.272","183035154107.494","150180268649.388","113675706127.265","126668932159.508","126392308497.749","120296746256.631","134300851255.002","152280653543.725","172895476152.592","189318499954.003","221758486880.313","262942650543.771","291383081231.82","281710095724.761","341105009515.333","370818747396.833","397558094269.877","420333333333.333","407339361695.577","401399422442.967","411755164832.674",1.56479448139e+11
Turkmenistan,"","","","","","","","","","","","","2331358819.75954","3010982414.24425","3006988216.55045","3189539641.3171","3208098919.0146","3200539816.0601","3172880188.20473","2496503230.62143","2474614242.04624","2378759975.44506","2450349634.47436","2605688065.08338","2450564467.58315","2904662604.82053","3534803921.56863","4461978498.86577","5977560877.44013","6838351088.46688","8103901996.37024","10276674364.8961","12664165103.1895","19271523178.8079","20214385964.9123","22583157894.7368","29233333333.3333","35164210526.3158","39197543859.6491","43524210526.3158","35799714285.7143","36180000000",12396901521.9
Trinidad and Tobago,"2442667573.04821","2500410583.79177","3138666666.66667","3562333458.33333","4602416625","6235833333.33333","6992083333.33333","8140416666.66667","7763750000","7757083333.33333","7375918367.34694","4794444444.44444","4797777777.77778","4496852073.46896","4323058823.52941","5068000000","5307905882.35294","5439552941.17647","4669488516.37981","4947205860.01451","5329214163.22001","5759537726.26601","5737751331.63779","6043694330.21609","6808982520.75759","8154338232.95978","8824873259.32105","9008273720.93395","11305459802.0683","13280275123.0354","15982282462.3786","18369361094.3886","21641620049.9352","27871587349.5413","19172165225.5015","22157253321.2039","25366520906.9264","25601811993.9704","26578524198.305","27200280855.0476","24401734194.6814","22295585700.3672",10982071281.5
Turkey,"44633707242.7642","51280134554.2889","58676813687.3681","65147022485.7919","89394085658.2038","68789289565.7434","71040020140.4436","64546332580.7583","61678280115.4987","59989909457.8379","67234948264.5987","75728009962.7878","87172789528.3316","90852814004.9917","107143348667.094","150676291094.21","150027833333.333","158459130434.783","180169736363.636","130690172297.297","169485941048.035","181475555282.555","189834649111.257","275769083237.438","255883476599.809","272979846449.136","200252121409.922","238428211252.654","311822906256.246","404786390740.091","501416344150.045","552487224361.218","675770204927.469","764335766423.358","644640000000","771901783337.77","832523582089.552","873982182628.062","950579367580.628","934185972127.028","859796691176.471","863721731068.508",3.22842611921e+11
Ukraine,"","","","","","","","","","","","","64087694038.2333","74703517902.6642","82709161099.1244","81456918678.5008","77464561149.5103","73942235330.437","65648559903.0571","52549555149.1978","48213868178.0873","44558077827.135","50150399791.647","41883241471.7365","31580639045.454","31261527363.144","37972301334.6736","42351593887.2827","50084197498.4529","64819702951.6826","86057915585.3026","107647920792.079","142579603960.396","179816790704.739","117113410001.027","136013155905.036","163159671670.265","175781379051.433","183310146378.081","133503411375.739","91030959454.6961","93355993628.5042",87493603703.6
Uruguay,"3538283322.07726","3667161241.48372","4114667062.64917","4910257282.93153","7181185277.98651","10163020115.7344","11048335541.4933","9178802162.6616","5102281255.99986","4850241442.17643","4732017873.38369","5880112788.40947","7367494080.40014","8213515458.51139","8438951476.06644","9298839655.23139","11205971155.2758","12878199880.9839","15002106518.4847","17474647792.3829","19297663096.5506","20515543039.2132","23969823010.4429","25385928198.3212","23983945190.6202","22823255801.8447","20898788416.6348","13606494599.4261","12045631092.5353","13686329890.1191","17362857683.8545","19579457966.0538","23410572634.3147","30366213119.2928","31660911277.0294","40284481651.9021","47962439303.7247","51264390116.4909","57531233350.9101","57236013086.1223","53274304222.136","52687612261.5424",20073332866.5
United States,"1688923000000","1877587000000","2085951000000","2356571000000","2632143000000","2862505000000","3210956000000","3344991000000","3638137000000","4040693000000","4346734000000","4590155000000","4870217000000","5252629000000","5657693000000","5979589000000","6174043000000","6539299000000","6878718000000","7308755000000","7664060000000","8100201000000","8608515000000","9089168000000","9660624000000","10284779000000","10621824000000","10977514000000","11510670000000","12274928000000","13093726000000","13855888000000","14477635000000","14718582000000","14418739000000","14964372000000","15517926000000","16155255000000","16691517000000","17427609000000","18120714000000","18624475000000",8.86178595238e+12
South Africa,"38114942528.7356","36601885924.563","40649724011.0396","46737580496.7801","57647268408.5511","82984078068.8238","89629496832.7955","82696902010.2943","88786580362.8407","87880468268.6383","69208451592.5576","82107924006.1732","107414974090.178","118331510445.149","128902675070.723","115553279480.54","123943432441.241","134545231416.55","134309759157.817","139752450152.078","155460285076.232","147607982694.857","152586154513.889","137774361015.14","136631966609.379","136361854808.496","121600818309.679","115748110112.68","175256916996.047","228937347865.858","257671413750.825","271638484826.109","299415505152.298","286769839732.726","295936485832.635","375349442837.187","416418874939.232","396327875201.304","366643223164.004","350636208163.772","317536830640.619","295746599722.066",1.72472742779e+11
